block_size,workers_requested,workers_used,median_seconds,scenarios_per_second,speedup,parallel_efficiency,price,standard_error
512,1,1,0.564964167,17700237.615246847,1.000000000,1.000000000,10.453604072,0.004654106
512,2,2,0.287145542,34825545.019257173,1.967518503,0.983759252,10.453604072,0.004654106
512,4,4,0.167018625,59873562.005435020,3.382641708,0.845660427,10.453604072,0.004654106
512,8,8,0.141997125,70423961.048507139,3.978701449,0.497337681,10.453604072,0.004654106
2048,1,1,0.533479500,18744862.736056399,1.000000000,1.000000000,10.453604072,0.004654106
2048,2,2,0.272481167,36699784.099207118,1.957858247,0.978929124,10.453604072,0.004654106
2048,4,4,0.141753125,70545181.984524146,3.763440841,0.940860210,10.453604072,0.004654106
2048,8,8,0.112969833,88519206.716008857,4.722318214,0.590289777,10.453604072,0.004654106
8192,1,1,0.515358292,19403976.137052238,1.000000000,1.000000000,10.453604072,0.004654106
8192,2,2,0.265902375,37607787.444546141,1.938148510,0.969074255,10.453604072,0.004654106
8192,4,4,0.135551958,73772449.675717711,3.801924366,0.950481092,10.453604072,0.004654106
8192,8,8,0.106905000,93540994.340769842,4.820712708,0.602589088,10.453604072,0.004654106
32768,1,1,0.510472709,19589685.841559850,1.000000000,1.000000000,10.453604072,0.004654106
32768,2,2,0.256937291,38920002.468617916,1.986759909,0.993379955,10.453604072,0.004654106
32768,4,4,0.134377542,74417196.885473624,3.798794809,0.949698702,10.453604072,0.004654106
32768,8,8,0.102745875,97327508.281962663,4.968303681,0.621037960,10.453604072,0.004654106
