scenarios,time_steps,repeats,block_size,queue_capacity_requested,queue_capacity_resolved,workers_requested,workers_used,metrics_median_seconds,metrics_scenarios_per_second,unobserved_median_seconds,unobserved_scenarios_per_second,metrics_throughput_loss_percent,metrics_speedup,metrics_parallel_efficiency,unobserved_speedup,unobserved_parallel_efficiency,cpu_utilization_percent,price,standard_error,block_compute_p50_ns,block_compute_p95_ns,block_compute_p99_ns,block_commit_p50_ns,block_commit_p95_ns,block_commit_p99_ns,assignment_queue_peak,completion_queue_peak,scheduler_blocked_ns,coordinator_blocked_ns,coordinator_consume_ns,coordinator_blocks_per_second,max_reduction_backlog_blocks,max_reduction_backlog_bytes
5000000,1,3,512,0,2,1,1,0.290485250,17212577.919188671,0.292393667,17100233.569696296,-0.656975526,1.000000000,1.000000000,1.000000000,1.000000000,113.850875389,10.444555390,0.006578653,28125.000000000,29208.000000000,41958.000000000,21666.000000000,41708.000000000,44500.000000000,2.000000000,2.000000000,289017838.000000000,278171279.000000000,10353642.000000000,943242.967064150,9766,390640
5000000,1,3,512,0,4,2,2,0.159083167,31430100.960964650,0.155085709,32240236.913125247,2.512810171,1.825996147,0.912998074,1.885368219,0.942684110,221.651986599,10.444555390,0.006578653,30041.000000000,32334.000000000,45166.000000000,10333.000000000,25583.000000000,51750.000000000,4.000000000,4.000000000,157235413.000000000,146326918.000000000,10875960.000000000,897943.721749620,9766,390640
5000000,1,3,512,0,8,4,4,0.106257250,47055612.675840944,0.103495417,48311317.978456959,2.599194878,2.733792282,0.683448071,2.825184684,0.706296171,398.884781980,10.444555390,0.006578653,32542.000000000,65666.000000000,96750.000000000,20208.000000000,82084.000000000,127083.000000000,8.000000000,8.000000000,102495630.000000000,82766330.000000000,16307919.000000000,598850.165983778,9766,390640
5000000,1,3,512,0,16,8,8,0.114330916,43732703.059949242,0.105715042,47296958.932296507,7.535909185,2.540741036,0.317592630,2.765866252,0.345733282,460.940940944,10.444555390,0.006578653,33375.000000000,76750.000000000,115625.000000000,197708.000000000,414167.000000000,571750.000000000,16.000000000,16.000000000,110760182.000000000,37873958.000000000,19315131.000000000,505613.966584022,9766,390640
5000000,1,3,512,1,1,1,1,0.307951750,16236309.746575559,0.305100167,16388060.515220892,0.925983697,1.000000000,1.000000000,1.000000000,1.000000000,112.305905065,10.444555390,0.006578653,28334.000000000,29917.000000000,39416.000000000,21250.000000000,33250.000000000,39250.000000000,1.000000000,1.000000000,306445115.000000000,294451117.000000000,10124657.000000000,964575.886373237,9766,390640
5000000,1,3,512,1,1,2,2,0.174238500,28696298.464461070,0.173128375,28880303.416467693,0.637129567,1.767415066,0.883707533,1.762277079,0.881138540,231.584233573,10.444555390,0.006578653,30666.000000000,33000.000000000,40375.000000000,10125.000000000,22958.000000000,32666.000000000,1.000000000,1.000000000,170227758.000000000,158184244.000000000,11670761.000000000,836792.048093522,9766,390640
5000000,1,3,512,1,1,4,4,0.133575750,37431944.046730042,0.129746834,38536585.794455685,2.866475389,2.305446535,0.576361634,2.351503752,0.587875938,318.601780746,10.444555390,0.006578653,35416.000000000,37041.000000000,45708.000000000,5959.000000000,14042.000000000,38916.000000000,1.000000000,1.000000000,126020346.000000000,120889474.000000000,9834866.000000000,992997.769364626,9766,390640
5000000,1,3,512,1,1,8,8,0.135272667,36962382.060523726,0.133749334,37383363.718282141,1.126120327,2.276526048,0.284565756,2.281134103,0.285141763,314.968376411,10.444555390,0.006578653,35584.000000000,37166.000000000,46042.000000000,6000.000000000,17291.000000000,37333.000000000,1.000000000,1.000000000,126754455.000000000,122327283.000000000,9831824.000000000,993305.006273505,9766,390640
5000000,1,3,512,8,8,1,1,0.293397292,17041738.749245171,0.311340417,16059591.774748603,-6.115640972,1.000000000,1.000000000,1.000000000,1.000000000,114.279514209,10.444555390,0.006578653,28167.000000000,30459.000000000,42750.000000000,17042.000000000,41500.000000000,44500.000000000,8.000000000,3.000000000,291772319.000000000,280869746.000000000,10785732.000000000,905455.466536717,9766,390640
5000000,1,3,512,8,8,2,2,0.169635000,29475049.370707694,0.164965875,30309298.817103837,2.752453798,1.729579933,0.864789967,1.887301947,0.943650973,224.030601790,10.444555390,0.006578653,31958.000000000,33500.000000000,50791.000000000,10084.000000000,25375.000000000,67125.000000000,8.000000000,8.000000000,167407433.000000000,155340312.000000000,12161325.000000000,803037.497969999,9766,390640
